Date,Region,Confirmed,Recovered,Deceased
16-03-2020,Karnataka,8.0,0.0,1.0
16-03-2020,Kerala,27.0,6.0,0.0
16-03-2020,Ladakh,3.0,0.0,0.0
16-03-2020,Maharashtra,39.0,0.0,1.0
16-03-2020,Odisha,1.0,0.0,0.0
16-03-2020,Punjab,1.0,0.0,0.0
16-03-2020,Rajasthan,4.0,3.0,0.0
16-03-2020,Tamil Nadu,1.0,1.0,0.0
16-03-2020,Telangana,4.0,1.0,0.0
16-03-2020,Uttar Pradesh,13.0,2.0,0.0
16-03-2020,Uttarakhand,1.0,0.0,0.0
16-03-2020,National Total,127.0,15.0,3.0
17-03-2020,Andhra Pradesh,1.0,0.0,0.0
17-03-2020,Delhi,10.0,2.0,1.0
17-03-2020,Haryana,15.0,0.0,0.0
17-03-2020,Jammu and Kashmir,3.0,0.0,0.0
17-03-2020,Karnataka,11.0,0.0,1.0
17-03-2020,Kerala,27.0,6.0,0.0
17-03-2020,Ladakh,8.0,0.0,0.0
17-03-2020,Maharashtra,41.0,0.0,1.0
17-03-2020,Odisha,1.0,0.0,0.0
17-03-2020,Puducherry,1.0,0.0,0.0
17-03-2020,Punjab,1.0,0.0,0.0
17-03-2020,Rajasthan,4.0,3.0,0.0
17-03-2020,Tamil Nadu,1.0,1.0,0.0
17-03-2020,Telangana,5.0,1.0,0.0
17-03-2020,Uttar Pradesh,15.0,2.0,0.0
17-03-2020,Uttarakhand,1.0,0.0,0.0
17-03-2020,West Bengal,1.0,0.0,0.0
17-03-2020,National Total,146.0,15.0,3.0
18-03-2020,Andhra Pradesh,1.0,0.0,0.0
18-03-2020,Delhi,11.0,2.0,1.0
18-03-2020,Haryana,17.0,0.0,0.0
18-03-2020,Jammu and Kashmir,4.0,0.0,0.0
18-03-2020,Karnataka,14.0,0.0,1.0
18-03-2020,Kerala,27.0,6.0,0.0
18-03-2020,Ladakh,8.0,0.0,0.0
18-03-2020,Maharashtra,45.0,0.0,1.0
18-03-2020,Odisha,1.0,0.0,0.0
18-03-2020,Puducherry,1.0,0.0,0.0
18-03-2020,Punjab,1.0,0.0,0.0
18-03-2020,Rajasthan,7.0,3.0,0.0
18-03-2020,Tamil Nadu,2.0,1.0,0.0
18-03-2020,Telangana,13.0,1.0,0.0
18-03-2020,Uttar Pradesh,17.0,2.0,0.0
18-03-2020,Uttarakhand,1.0,0.0,0.0
18-03-2020,West Bengal,1.0,0.0,0.0
18-03-2020,National Total,171.0,15.0,3.0
19-03-2020,Andhra Pradesh,3.0,0.0,0.0
19-03-2020,Chandigarh,1.0,0.0,0.0
19-03-2020,Chhattisgarh,1.0,0.0,0.0
19-03-2020,Delhi,14.0,2.0,1.0
19-03-2020,Gujarat,2.0,0.0,0.0
19-03-2020,Haryana,17.0,0.0,0.0
19-03-2020,Jammu and Kashmir,4.0,0.0,0.0
19-03-2020,Karnataka,15.0,0.0,1.0
19-03-2020,Kerala,28.0,6.0,0.0
19-03-2020,Ladakh,8.0,0.0,0.0
19-03-2020,Maharashtra,49.0,0.0,1.0
19-03-2020,Odisha,2.0,0.0,0.0
19-03-2020,Puducherry,1.0,0.0,0.0
19-03-2020,Punjab,2.0,0.0,1.0
19-03-2020,Rajasthan,9.0,3.0,0.0
19-03-2020,Tamil Nadu,3.0,1.0,0.0
19-03-2020,Telangana,16.0,1.0,0.0
19-03-2020,Uttar Pradesh,20.0,2.0,0.0
19-03-2020,Uttarakhand,3.0,1.0,0.0
19-03-2020,West Bengal,1.0,0.0,0.0
19-03-2020,National Total,199.0,16.0,4.0
20-03-2020,Andhra Pradesh,3.0,0.0,0.0
20-03-2020,Chandigarh,5.0,0.0,0.0
20-03-2020,Chhattisgarh,1.0,0.0,0.0
20-03-2020,Delhi,20.0,3.0,1.0
20-03-2020,Gujarat,7.0,0.0,0.0
20-03-2020,Haryana,19.0,0.0,0.0
20-03-2020,Himachal Pradesh,2.0,1.0,0.0
20-03-2020,Jammu and Kashmir,4.0,0.0,0.0
20-03-2020,Karnataka,15.0,1.0,1.0
20-03-2020,Kerala,40.0,8.0,0.0
20-03-2020,Ladakh,10.0,0.0,0.0
20-03-2020,Madhya Pradesh,4.0,0.0,0.0
20-03-2020,Maharashtra,54.0,0.0,1.0
20-03-2020,Odisha,2.0,0.0,0.0
20-03-2020,Puducherry,1.0,0.0,0.0
20-03-2020,Punjab,3.0,0.0,1.0
20-03-2020,Rajasthan,17.0,3.0,0.0
20-03-2020,Tamil Nadu,3.0,1.0,0.0
20-03-2020,Telangana,19.0,1.0,0.0
20-03-2020,Uttar Pradesh,24.0,2.0,0.0
20-03-2020,Uttarakhand,3.0,1.0,0.0
20-03-2020,West Bengal,2.0,0.0,0.0
20-03-2020,National Total,258.0,21.0,4.0
21-03-2020,Andhra Pradesh,5.0,0.0,0.0
21-03-2020,Chandigarh,5.0,0.0,0.0
21-03-2020,Chhattisgarh,1.0,0.0,0.0
21-03-2020,Delhi,27.0,3.0,1.0
21-03-2020,Gujarat,14.0,0.0,0.0
21-03-2020,Haryana,21.0,0.0,0.0
21-03-2020,Himachal Pradesh,2.0,1.0,0.0
21-03-2020,Jammu and Kashmir,4.0,0.0,0.0
21-03-2020,Karnataka,20.0,1.0,1.0
21-03-2020,Kerala,52.0,8.0,0.0
21-03-2020,Ladakh,13.0,0.0,0.0
21-03-2020,Madhya Pradesh,4.0,0.0,0.0
21-03-2020,Maharashtra,64.0,0.0,1.0
21-03-2020,Odisha,2.0,0.0,0.0
21-03-2020,Puducherry,1.0,0.0,0.0
21-03-2020,Punjab,13.0,0.0,1.0
21-03-2020,Rajasthan,24.0,3.0,0.0
21-03-2020,Tamil Nadu,6.0,1.0,0.0
21-03-2020,Telangana,21.0,1.0,0.0
21-03-2020,Uttar Pradesh,28.0,2.0,0.0
21-03-2020,Uttarakhand,3.0,1.0,0.0
21-03-2020,West Bengal,4.0,0.0,0.0
21-03-2020,National Total,334.0,21.0,4.0
22-03-2020,Andhra Pradesh,6.0,0.0,0.0
22-03-2020,Bihar,2.0,0.0,1.0
22-03-2020,Chandigarh,6.0,0.0,0.0
22-03-2020,Chhattisgarh,1.0,0.0,0.0
22-03-2020,Delhi,28.0,3.0,1.0
22-03-2020,Gujarat,18.0,0.0,1.0
22-03-2020,Haryana,21.0,0.0,0.0
22-03-2020,Himachal Pradesh,2.0,1.0,0.0
22-03-2020,Jammu and Kashmir,4.0,0.0,0.0
22-03-2020,Karnataka,26.0,1.0,1.0
22-03-2020,Kerala,67.0,8.0,0.0
22-03-2020,Ladakh,13.0,0.0,0.0
22-03-2020,Madhya Pradesh,6.0,0.0,0.0
22-03-2020,Maharashtra,74.0,0.0,2.0
22-03-2020,Odisha,2.0,0.0,0.0
22-03-2020,Puducherry,1.0,0.0,0.0
22-03-2020,Punjab,21.0,0.0,1.0
22-03-2020,Rajasthan,29.0,3.0,0.0
22-03-2020,Tamil Nadu,9.0,1.0,0.0
22-03-2020,Telangana,27.0,1.0,0.0
22-03-2020,Uttar Pradesh,30.0,2.0,0.0
22-03-2020,Uttarakhand,3.0,1.0,0.0
22-03-2020,West Bengal,7.0,0.0,0.0
22-03-2020,National Total,403.0,21.0,7.0
23-03-2020,Andhra Pradesh,7.0,0.0,0.0
23-03-2020,Bihar,3.0,0.0,1.0
23-03-2020,Chandigarh,7.0,0.0,0.0
23-03-2020,Chhattisgarh,1.0,0.0,0.0
23-03-2020,Delhi,30.0,3.0,1.0
23-03-2020,Gujarat,30.0,0.0,1.0
23-03-2020,Haryana,28.0,0.0,0.0
23-03-2020,Himachal Pradesh,3.0,1.0,1.0
23-03-2020,Jammu and Kashmir,4.0,0.0,0.0
23-03-2020,Karnataka,33.0,1.0,1.0
23-03-2020,Kerala,95.0,9.0,0.0
23-03-2020,Ladakh,13.0,0.0,0.0
23-03-2020,Madhya Pradesh,6.0,0.0,0.0
23-03-2020,Maharashtra,97.0,0.0,2.0
23-03-2020,Odisha,2.0,0.0,0.0
23-03-2020,Puducherry,1.0,0.0,0.0
23-03-2020,Punjab,23.0,0.0,1.0
23-03-2020,Rajasthan,32.0,3.0,0.0
23-03-2020,Tamil Nadu,12.0,1.0,0.0
23-03-2020,Telangana,33.0,1.0,0.0
23-03-2020,Uttar Pradesh,34.0,2.0,0.0
23-03-2020,Uttarakhand,4.0,1.0,0.0
23-03-2020,West Bengal,7.0,0.0,1.0
23-03-2020,National Total,505.0,22.0,9.0
24-03-2020,Andhra Pradesh,8.0,0.0,0.0
24-03-2020,Bihar,3.0,0.0,1.0
24-03-2020,Chandigarh,7.0,0.0,0.0
24-03-2020,Chhattisgarh,1.0,0.0,0.0
24-03-2020,Delhi,30.0,3.0,1.0
24-03-2020,Gujarat,36.0,0.0,1.0
24-03-2020,Haryana,30.0,0.0,0.0
24-03-2020,Himachal Pradesh,3.0,1.0,1.0
24-03-2020,Jammu and Kashmir,6.0,0.0,1.0
24-03-2020,Karnataka,41.0,3.0,1.0
24-03-2020,Kerala,109.0,11.0,0.0
24-03-2020,Ladakh,13.0,0.0,0.0
24-03-2020,Madhya Pradesh,7.0,0.0,0.0
24-03-2020,Maharashtra,107.0,0.0,2.0
24-03-2020,Manipur,1.0,0.0,0.0
24-03-2020,Odisha,2.0,0.0,0.0
24-03-2020,Puducherry,1.0,0.0,0.0
24-03-2020,Punjab,29.0,0.0,1.0
24-03-2020,Rajasthan,32.0,3.0,0.0
24-03-2020,Tamil Nadu,18.0,1.0,0.0
24-03-2020,Telangana,39.0,1.0,0.0
24-03-2020,Uttar Pradesh,35.0,2.0,0.0
24-03-2020,Uttarakhand,4.0,1.0,0.0
24-03-2020,West Bengal,9.0,0.0,1.0
24-03-2020,National Total,571.0,26.0,10.0
25-03-2020,Andhra Pradesh,10.0,0.0,0.0
25-03-2020,Bihar,4.0,0.0,1.0
25-03-2020,Chandigarh,7.0,0.0,0.0
25-03-2020,Chhattisgarh,3.0,0.0,0.0
25-03-2020,Delhi,35.0,3.0,1.0
25-03-2020,Goa,3.0,0.0,0.0
25-03-2020,Gujarat,38.0,0.0,2.0
25-03-2020,Haryana,31.0,0.0,0.0
25-03-2020,Himachal Pradesh,3.0,1.0,1.0
25-03-2020,Jammu and Kashmir,11.0,0.0,1.0
25-03-2020,Karnataka,51.0,3.0,1.0
25-03-2020,Kerala,118.0,11.0,0.0
25-03-2020,Ladakh,13.0,0.0,0.0
25-03-2020,Madhya Pradesh,15.0,0.0,1.0
25-03-2020,Maharashtra,122.0,2.0,2.0
25-03-2020,Manipur,1.0,0.0,0.0
25-03-2020,Mizoram,1.0,0.0,0.0
25-03-2020,Odisha,2.0,0.0,0.0
25-03-2020,Puducherry,1.0,0.0,0.0
25-03-2020,Punjab,31.0,0.0,1.0
25-03-2020,Rajasthan,38.0,3.0,0.0
25-03-2020,Tamil Nadu,26.0,1.0,1.0
25-03-2020,Telangana,41.0,1.0,0.0
25-03-2020,Uttar Pradesh,38.0,2.0,0.0
25-03-2020,Uttarakhand,5.0,1.0,0.0
25-03-2020,West Bengal,9.0,0.0,1.0
25-03-2020,National Total,657.0,28.0,13.0
26-03-2020,Andaman and Nicobar Islands,1.0,0.0,0.0
26-03-2020,Andhra Pradesh,11.0,0.0,0.0
26-03-2020,Bihar,7.0,0.0,1.0
26-03-2020,Chandigarh,7.0,0.0,0.0
26-03-2020,Chhattisgarh,6.0,0.0,0.0
26-03-2020,Delhi,39.0,3.0,1.0
26-03-2020,Goa,3.0,0.0,0.0
26-03-2020,Gujarat,44.0,0.0,2.0
26-03-2020,Haryana,32.0,0.0,0.0
26-03-2020,Himachal Pradesh,3.0,1.0,1.0
26-03-2020,Jammu and Kashmir,14.0,0.0,1.0
26-03-2020,Karnataka,55.0,3.0,2.0
26-03-2020,Kerala,137.0,11.0,0.0
26-03-2020,Ladakh,13.0,0.0,0.0
26-03-2020,Madhya Pradesh,20.0,0.0,1.0
26-03-2020,Maharashtra,130.0,2.0,2.0
26-03-2020,Manipur,1.0,0.0,0.0
26-03-2020,Mizoram,1.0,0.0,0.0
26-03-2020,Odisha,3.0,0.0,0.0
26-03-2020,Puducherry,1.0,0.0,0.0
26-03-2020,Punjab,33.0,0.0,1.0
26-03-2020,Rajasthan,43.0,3.0,0.0
26-03-2020,Tamil Nadu,29.0,1.0,1.0
26-03-2020,Telangana,45.0,1.0,0.0
26-03-2020,Uttar Pradesh,42.0,2.0,0.0
26-03-2020,Uttarakhand,5.0,1.0,0.0
26-03-2020,West Bengal,10.0,0.0,1.0
26-03-2020,National Total,735.0,28.0,14.0
27-03-2020,Andaman and Nicobar Islands,6.0,0.0,0.0
27-03-2020,Andhra Pradesh,13.0,0.0,0.0
27-03-2020,Bihar,9.0,0.0,1.0
27-03-2020,Chandigarh,8.0,0.0,0.0
27-03-2020,Chhattisgarh,6.0,0.0,0.0
27-03-2020,Delhi,40.0,3.0,1.0
27-03-2020,Goa,3.0,0.0,0.0
27-03-2020,Gujarat,47.0,0.0,2.0
27-03-2020,Haryana,33.0,0.0,0.0
27-03-2020,Himachal Pradesh,3.0,2.0,1.0
27-03-2020,Jammu and Kashmir,20.0,0.0,1.0
27-03-2020,Karnataka,64.0,5.0,3.0
27-03-2020,Kerala,176.0,11.0,0.0
27-03-2020,Ladakh,13.0,0.0,0.0
27-03-2020,Madhya Pradesh,29.0,0.0,2.0
27-03-2020,Maharashtra,156.0,2.0,2.0
27-03-2020,Manipur,1.0,0.0,0.0
27-03-2020,Mizoram,1.0,0.0,0.0
27-03-2020,Odisha,3.0,0.0,0.0
27-03-2020,Puducherry,1.0,0.0,0.0
27-03-2020,Punjab,38.0,0.0,1.0
27-03-2020,Rajasthan,50.0,3.0,0.0
27-03-2020,Tamil Nadu,38.0,1.0,1.0
27-03-2020,Telangana,59.0,1.0,0.0
27-03-2020,Uttar Pradesh,49.0,2.0,0.0
27-03-2020,Uttarakhand,5.0,1.0,0.0
27-03-2020,West Bengal,15.0,0.0,1.0
27-03-2020,National Total,886.0,31.0,16.0
28-03-2020,Andhra Pradesh,14.0,1.0,0.0
28-03-2020,Andaman and Nicobar Islands,6.0,0.0,0.0
28-03-2020,Bihar,9.0,0.0,1.0
28-03-2020,Chandigarh,8.0,0.0,0.0
28-03-2020,Chhattisgarh,6.0,0.0,0.0
28-03-2020,Delhi,39.0,6.0,1.0
28-03-2020,Goa,3.0,0.0,0.0
28-03-2020,Gujarat,45.0,0.0,3.0
28-03-2020,Haryana,33.0,12.0,0.0
28-03-2020,Himachal Pradesh,3.0,0.0,1.0
28-03-2020,Jammu and Kashmir,20.0,1.0,1.0
28-03-2020,Karnataka,55.0,3.0,2.0
28-03-2020,Kerala,176.0,11.0,0.0
28-03-2020,Ladakh,13.0,3.0,0.0
28-03-2020,Madhya Pradesh,30.0,0.0,2.0
28-03-2020,Maharashtra,180.0,25.0,5.0
28-03-2020,Manipur,1.0,0.0,0.0
28-03-2020,Mizoram,1.0,0.0,0.0
28-03-2020,Odisha,3.0,0.0,0.0
28-03-2020,Puducherry,1.0,0.0,0.0
28-03-2020,Punjab,38.0,1.0,1.0
28-03-2020,Rajasthan,54.0,3.0,0.0
28-03-2020,Tamil Nadu,40.0,2.0,1.0
28-03-2020,Telangana,56.0,1.0,0.0
28-03-2020,Uttarakhand,5.0,0.0,0.0
28-03-2020,Uttar Pradesh,55.0,11.0,0.0
28-03-2020,West Bengal,15.0,0.0,1.0
28-03-2020,National Total,909.0,80.0,19.0
29-03-2020,Andhra Pradesh,14.0,1.0,0.0
29-03-2020,Andaman and Nicobar Islands,9.0,0.0,0.0
29-03-2020,Bihar,9.0,0.0,1.0
29-03-2020,Chandigarh,8.0,0.0,0.0
29-03-2020,Chhattisgarh,6.0,0.0,0.0
29-03-2020,Delhi,39.0,6.0,2.0
29-03-2020,Goa,3.0,0.0,0.0
29-03-2020,Gujarat,53.0,0.0,4.0
29-03-2020,Haryana,33.0,12.0,0.0
29-03-2020,Himachal Pradesh,3.0,0.0,1.0
29-03-2020,Jammu and Kashmir,31.0,1.0,1.0
29-03-2020,Karnataka,76.0,5.0,3.0
29-03-2020,Kerala,182.0,15.0,1.0
29-03-2020,Ladakh,13.0,3.0,0.0
29-03-2020,Madhya Pradesh,30.0,0.0,2.0
29-03-2020,Maharashtra,186.0,25.0,6.0
29-03-2020,Manipur,1.0,0.0,0.0
29-03-2020,Mizoram,1.0,0.0,0.0
29-03-2020,Odisha,3.0,0.0,0.0
29-03-2020,Puducherry,1.0,0.0,0.0
29-03-2020,Punjab,38.0,1.0,1.0
29-03-2020,Rajasthan,54.0,3.0,0.0
29-03-2020,Tamil Nadu,42.0,2.0,1.0
29-03-2020,Telangana,66.0,1.0,1.0
29-03-2020,Uttarakhand,6.0,1.0,0.0
29-03-2020,Uttar Pradesh,55.0,11.0,0.0
29-03-2020,West Bengal,17.0,0.0,1.0
29-03-2020,National Total,979.0,87.0,25.0
30-03-2020,Andhra Pradesh,23.0,1.0,0.0
30-03-2020,Andaman and Nicobar Islands,9.0,0.0,0.0
30-03-2020,Bihar,15.0,0.0,1.0
30-03-2020,Chandigarh,8.0,0.0,0.0
30-03-2020,Chhattisgarh,7.0,0.0,0.0
30-03-2020,Delhi,87.0,6.0,2.0
30-03-2020,Goa,5.0,0.0,0.0
30-03-2020,Gujarat,69.0,1.0,6.0
30-03-2020,Haryana,36.0,18.0,0.0
30-03-2020,Himachal Pradesh,3.0,0.0,1.0
30-03-2020,Jammu and Kashmir,48.0,2.0,2.0
30-03-2020,Karnataka,83.0,5.0,3.0
30-03-2020,Kerala,202.0,19.0,1.0
30-03-2020,Ladakh,13.0,3.0,0.0
30-03-2020,Madhya Pradesh,47.0,0.0,3.0
30-03-2020,Maharashtra,198.0,25.0,8.0
30-03-2020,Manipur,1.0,0.0,0.0
30-03-2020,Mizoram,1.0,0.0,0.0
30-03-2020,Odisha,3.0,0.0,0.0
30-03-2020,Puducherry,1.0,0.0,0.0
30-03-2020,Punjab,38.0,1.0,1.0
30-03-2020,Rajasthan,59.0,3.0,0.0
30-03-2020,Tamil Nadu,67.0,4.0,1.0
30-03-2020,Telangana,71.0,1.0,1.0
30-03-2020,Uttarakhand,7.0,2.0,0.0
30-03-2020,Uttar Pradesh,82.0,11.0,0.0
30-03-2020,West Bengal,22.0,0.0,1.0
30-03-2020,National Total,1205.0,102.0,31.0
31-03-2020,Andhra Pradesh,40.0,1.0,0.0
31-03-2020,Andaman and Nicobar Islands,10.0,0.0,0.0
31-03-2020,Bihar,15.0,0.0,1.0
31-03-2020,Chandigarh,13.0,0.0,0.0
31-03-2020,Chhattisgarh,8.0,0.0,0.0
31-03-2020,Delhi,97.0,6.0,2.0
31-03-2020,Goa,5.0,0.0,0.0
31-03-2020,Gujarat,73.0,3.0,6.0
31-03-2020,Haryana,40.0,21.0,0.0
31-03-2020,Himachal Pradesh,3.0,0.0,1.0
31-03-2020,Jammu and Kashmir,54.0,2.0,2.0
31-03-2020,Karnataka,83.0,5.0,3.0
31-03-2020,Kerala,234.0,19.0,1.0
31-03-2020,Ladakh,13.0,3.0,0.0
31-03-2020,Madhya Pradesh,47.0,0.0,3.0
31-03-2020,Maharashtra,216.0,39.0,9.0
31-03-2020,Manipur,1.0,0.0,0.0
31-03-2020,Mizoram,1.0,0.0,0.0
31-03-2020,Odisha,3.0,0.0,0.0
31-03-2020,Puducherry,1.0,0.0,0.0
31-03-2020,Punjab,41.0,1.0,3.0
31-03-2020,Rajasthan,74.0,3.0,0.0
31-03-2020,Tamil Nadu,74.0,4.0,1.0
31-03-2020,Telangana,79.0,1.0,1.0
31-03-2020,Uttarakhand,7.0,2.0,0.0
31-03-2020,Uttar Pradesh,101.0,14.0,0.0
31-03-2020,West Bengal,26.0,0.0,2.0
31-03-2020,National Total,1359.0,124.0,35.0
01-04-2020,Andhra Pradesh,83.0,1.0,0.0
01-04-2020,Andaman and Nicobar Islands,10.0,0.0,0.0
